row_id,player,year,position,school,height,weight,forty,vertical,bench,shuttle,pick_number
77,Ron Dayne,2000,RB,Wisconsin,71,259,4.65,,,,11.0
78,Jerry DeLoach,2000,DT,California,75,314,4.99,31.5,19.0,4.57,
79,Mike Derouselle,2000,DT,Houston,74,314,5.28,27.5,27.0,4.8,
80,Na'il Diggs,2000,OLB,Ohio St.,76,231,4.66,,,,98.0
81,Reuben Droughns,2000,RB,Oregon,71,215,4.66,30.0,13.0,4.41,81.0
82,Ron Dugans,2000,WR,Florida St.,73,206,4.58,,,,66.0
83,Deon Dyer,2000,FB,North Carolina,71,260,4.99,28.0,,4.81,117.0
84,Mario Edwards,2000,CB,Florida St.,72,191,4.46,,,,180.0
85,Chris Edwards,2000,OLB,Georgia Tech,77,226,4.65,,,,
86,Shaun Ellis,2000,DE,Tennessee,76,280,4.85,,,,12.0
87,John Engelberger,2000,DE,Virginia Tech,76,260,4.73,34.0,24.0,4.28,35.0
88,Dwan Epps,2000,ILB,Texas Southern,73,242,4.68,34.5,8.0,,
89,Matt Farmer,2000,WR,Air Force,72,190,4.51,33.0,,3.94,
90,Danny Farmer,2000,WR,UCLA,75,217,4.58,,,,103.0
91,Kevin Feterik,2000,QB,BYU,71,207,4.92,31.0,,4.45,
92,Chafie Fields,2000,WR,Penn St.,73,196,4.43,,,,
93,Aaron Fields,2000,DE,Troy,76,243,4.76,34.0,22.0,4.56,
94,Zeron Flemister,2000,TE,Iowa,76,249,4.72,37.0,14.0,4.16,
95,Erik Flowers,2000,DE,Arizona St.,76,271,4.75,33.0,24.0,4.15,26.0
96,Larry Foster,2000,WR,LSU,70,198,4.55,37.0,,4.06,
97,Derrick Foster,2000,RB,Texas A&M-Kingsville,71,201,4.43,34.5,19.0,4.36,
98,John Frank,2000,DE,Utah,76,280,4.78,37.0,32.0,4.27,178.0
99,Bubba Franks,2000,TE,Miami (FL),78,265,4.85,,,,14.0
100,Todd Franz,2000,FS,Tulsa,73,199,4.55,,14.0,,145.0
101,Arturo Freeman,2000,FS,South Carolina,72,188,4.5,35.5,14.0,4.38,152.0
102,Byron Frisch,2000,DE,BYU,76,281,4.73,34.5,31.0,4.41,93.0
103,Mondriel Fulcher,2000,FB,Miami (FL),75,253,4.85,27.0,18.0,4.52,227.0
104,Trent Gamble,2000,FS,Wyoming,69,186,4.56,37.0,21.0,3.9,
105,Jason Gavadza,2000,TE,Kent St.,75,249,4.62,32.5,22.0,4.3,204.0
106,Trevor Gaylor,2000,WR,Miami (OH),75,199,4.56,37.5,,4.29,111.0
107,Kabeer Gbaja-Biamila,2000,OLB,San Diego St.,76,243,4.65,34.0,21.0,4.28,149.0
108,Sherrod Gideon,2000,WR,Southern Miss,71,173,4.66,,,,200.0
109,Ian Gold,2000,OLB,Michigan,73,221,4.56,33.0,21.0,4.19,40.0
110,Dwayne Goodrich,2000,CB,Tennessee,71,195,4.45,,,,49.0
111,Lamar Grant,2000,CB,Duke,71,188,4.62,32.0,16.0,4.3,
112,Ernest Grant,2000,DT,Ark-Pine Bluff,77,316,5.31,29.5,24.0,5.03,167.0
113,Deon Grant,2000,SS,Tennessee,74,209,4.5,,15.0,,57.0
114,Jonathan Gray,2000,OT,Texas Tech,76,338,5.85,23.0,20.0,,
115,Brian Gray,2000,CB,BYU,73,214,4.94,33.5,19.0,4.24,
116,Mike Green,2000,FS,NW State (LA),72,189,4.53,38.5,,4.2,
117,Mike Green,2000,FB,Houston,72,253,4.78,28.5,25.0,4.34,213.0
118,Barrett Green,2000,OLB,West Virginia,72,233,4.56,36.0,22.0,,50.0
119,Damian Gregory,2000,DT,Illinois St.,74,307,4.87,30.0,27.0,4.6,
120,Cornelius Griffin,2000,DE,Alabama,75,297,4.9,31.0,30.0,4.62,42.0
121,Clark Haggans,2000,OLB,Colorado St.,75,253,4.97,31.5,20.0,4.21,137.0
122,Ricky Hall,2000,WR,Virginia Tech,74,206,4.52,,,,
123,James Hall,2000,DE,Michigan,74,271,5.03,32.0,,4.51,
124,Dante' Hall,2000,RB,Texas A&M,68,191,4.44,38.0,18.0,3.82,
125,Troy Hambrick,2000,RB,South Carolina,72,237,4.66,34.5,21.0,4.44,
126,Joe Hamilton,2000,QB,Georgia Tech,70,192,4.81,,,,234.0
127,Joey Hamilton,2000,WR,Jacksonville St.,73,201,4.54,36.0,,4.41,
128,Thomas Hamner,2000,RB,Minnesota,72,197,4.5,32.0,17.0,4.07,171.0
